artist,metric,days,chartmetric_median,soundcharts_median,ratio_sc_over_cm,floor_p5,category,provider_excluded,reason
Shallipopi,TikTok_followers_daily,85,1896154.0,96.0,0.0001,2135.0,2,soundcharts,"signature B: metric at floor (286 <= p5 2135) while other provider reports 1980000 and this profile is substantial on Instagram_followers_daily, Spotify_followers_daily"
BNXN,Instagram_followers_daily,34,1711370.5,7.0,0.0,56947.0,2,soundcharts,"signature B: metric at floor (54550 <= p5 56947) while other provider reports 1695547 and this profile is substantial on Spotify_followers_daily, Spotify_monthly_listeners_daily"
Olamide,TikTok_followers_daily,75,2600000.0,23.0,0.0,2135.0,2,soundcharts,"signature B: metric at floor (10 <= p5 2135) while other provider reports 2691666 and this profile is substantial on Bandsintown_followers_daily, Deezer_fans_daily"
Shallipopi,TikTok_likes_daily,84,26150000.0,151.0,0.0,2121.0,2,soundcharts,"signature B: metric at floor (151 <= p5 2121) while other provider reports 27425000 and this profile is substantial on Instagram_followers_daily, Spotify_followers_daily"
Joeboy,Deezer_fans_daily,175,31.0,315156.0,10182.4839,13.0,3,none,neither defective: cm[within plausible range] sc[within plausible range]
Olamide,Deezer_fans_daily,241,34.0,342886.0,10084.8824,13.0,3,none,neither defective: cm[within plausible range] sc[within plausible range]
Yemi Alade,Deezer_fans_daily,173,140.0,387888.0,2770.6286,13.0,3,none,neither defective: cm[within plausible range] sc[within plausible range]
DJ Neptune,Deezer_fans_daily,90,66.0,78412.5,1188.0682,13.0,3,none,neither defective: cm[within plausible range] sc[within plausible range]
Phyno,Deezer_fans_daily,138,41.0,39774.5,970.1098,13.0,3,none,neither defective: cm[within plausible range] sc[within plausible range]
Ajebutter22,Deezer_fans_daily,87,7.0,6505.0,929.2857,13.0,3,none,neither defective: cm[at floor but profile not substantial elsewhere - may be a genuinely small artist] sc[within plausible range]
Dammy Krane,Instagram_followers_daily,173,627.0,581604.0,911.496,56947.0,3,none,neither defective: cm[at floor but profile not substantial elsewhere - may be a genuinely small artist] sc[within plausible range]
Skiibii,Deezer_fans_daily,88,33.0,17471.0,529.4242,13.0,3,none,neither defective: cm[within plausible range] sc[within plausible range]
Timaya,Deezer_fans_daily,127,84.0,43288.0,515.3333,13.0,3,none,neither defective: cm[within plausible range] sc[within plausible range]
Tekno,Deezer_fans_daily,168,85.0,32520.5,381.3101,13.0,3,none,neither defective: cm[within plausible range] sc[within plausible range]
Wande Coal,Deezer_fans_daily,170,280.0,69989.5,249.9625,13.0,3,none,neither defective: cm[within plausible range] sc[within plausible range]
Flavour,Facebook_followers_daily,76,16000.0,2445293.5,152.6455,3989.0,3,none,neither defective: cm[within plausible range] sc[within plausible range]
Falz,Deezer_fans_daily,91,732.0,82544.0,112.7691,13.0,3,none,neither defective: cm[within plausible range] sc[within plausible range]
Tiwa Savage,Deezer_fans_daily,174,2702.0,299313.5,110.7748,13.0,3,none,neither defective: cm[within plausible range] sc[within plausible range]
Solidstar,Facebook_followers_daily,29,2826.0,205311.0,72.6367,3989.0,3,none,neither defective: cm[at floor but profile not substantial elsewhere - may be a genuinely small artist] sc[within plausible range]
CDQ,Facebook_followers_daily,31,4056.0,246023.0,60.6618,3989.0,3,none,neither defective: cm[within plausible range] sc[within plausible range]
Cruel Santino,Deezer_fans_daily,168,171.0,7540.0,44.076,13.0,3,none,neither defective: cm[within plausible range] sc[within plausible range]
Timaya,YouTube_channel_views_daily,445,14795984.0,536004075.0,36.3012,1579679.0,3,none,neither defective: cm[within plausible range] sc[within plausible range]
Reminisce,Facebook_followers_daily,42,19112.0,442511.0,23.1882,3989.0,3,none,neither defective: cm[within plausible range] sc[within plausible range]
Darkoo,Soundcloud_followers_daily,189,407.0,5099.0,12.5283,400.0,3,none,neither defective: cm[within plausible range] sc[within plausible range]
Bracket,YouTube_channel_views_daily,11,379593300.0,21523633.0,0.0567,1579679.0,3,none,neither defective: cm[within plausible range] sc[within plausible range]
Seyi Vibez,YouTube_subscribers_daily,273,378500.0,17400.0,0.046,2950.0,3,none,neither defective: cm[within plausible range] sc[within plausible range]
BNXN,Facebook_followers_daily,121,212000.0,8341.0,0.0388,3989.0,3,none,neither defective: cm[within plausible range] sc[within plausible range]
Seyi Vibez,TikTok_likes_daily,229,1600000.0,39500.0,0.0249,2121.0,3,none,neither defective: cm[within plausible range] sc[within plausible range]
Terri,Facebook_followers_daily,26,529564.5,10014.5,0.0189,3989.0,3,none,neither defective: cm[within plausible range] sc[within plausible range]
Seyi Vibez,YouTube_channel_views_daily,273,202823540.0,2566185.0,0.0127,1579679.0,3,none,neither defective: cm[within plausible range] sc[within plausible range]
Oxlade,TikTok_followers_daily,90,1700000.0,6792.5,0.004,2135.0,3,none,neither defective: cm[within plausible range] sc[within plausible range]
Oxlade,TikTok_likes_daily,93,28607692.0,104500.0,0.0037,2121.0,3,none,neither defective: cm[within plausible range] sc[within plausible range]
