path,ext,size_bytes,role,maintenance,note,review_status
frontend/public/api/v1/nbs/export-revenue/Q3_2020.json,.json,174538,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/export-revenue/Q3_2021.json,.json,173478,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/export-revenue/Q3_2022.json,.json,187274,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/export-revenue/Q3_2023.json,.json,196795,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/export-revenue/Q3_2024.json,.json,205417,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/export-revenue/Q3_2025.json,.json,212722,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/export-revenue/Q3_2026.json,.json,215255,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/export-revenue/Q4_2019.json,.json,152274,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/export-revenue/Q4_2020.json,.json,179276,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/export-revenue/Q4_2021.json,.json,178495,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/export-revenue/Q4_2022.json,.json,189534,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/export-revenue/Q4_2023.json,.json,197200,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/export-revenue/Q4_2024.json,.json,207103,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/export-revenue/Q4_2025.json,.json,213459,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/streaming-revenue/Q1_2019.json,.json,133478,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/streaming-revenue/Q1_2020.json,.json,248569,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/streaming-revenue/Q1_2021.json,.json,292406,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/streaming-revenue/Q1_2022.json,.json,318406,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/streaming-revenue/Q1_2023.json,.json,338146,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/streaming-revenue/Q1_2024.json,.json,354397,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/streaming-revenue/Q1_2025.json,.json,368346,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/streaming-revenue/Q1_2026.json,.json,378683,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/streaming-revenue/Q2_2019.json,.json,213364,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/streaming-revenue/Q2_2020.json,.json,265845,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/streaming-revenue/Q2_2021.json,.json,298687,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/streaming-revenue/Q2_2022.json,.json,322659,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/streaming-revenue/Q2_2023.json,.json,346141,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/streaming-revenue/Q2_2024.json,.json,359946,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/streaming-revenue/Q2_2025.json,.json,373286,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/streaming-revenue/Q2_2026.json,.json,380633,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/streaming-revenue/Q3_2019.json,.json,239163,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/streaming-revenue/Q3_2020.json,.json,279495,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/streaming-revenue/Q3_2021.json,.json,304422,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/streaming-revenue/Q3_2022.json,.json,329421,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/streaming-revenue/Q3_2023.json,.json,345954,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/streaming-revenue/Q3_2024.json,.json,362549,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/streaming-revenue/Q3_2025.json,.json,375596,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/streaming-revenue/Q3_2026.json,.json,379846,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/streaming-revenue/Q4_2019.json,.json,243811,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/streaming-revenue/Q4_2020.json,.json,286976,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/streaming-revenue/Q4_2021.json,.json,313891,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/streaming-revenue/Q4_2022.json,.json,333240,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/streaming-revenue/Q4_2023.json,.json,347890,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/streaming-revenue/Q4_2024.json,.json,365472,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/streaming-revenue/Q4_2025.json,.json,377009,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/summary.json,.json,13743,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/top-artists/Q1_2019.json,.json,2398,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/top-artists/Q1_2020.json,.json,2529,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/top-artists/Q1_2021.json,.json,2540,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/top-artists/Q1_2022.json,.json,2676,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/top-artists/Q1_2023.json,.json,2679,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/top-artists/Q1_2024.json,.json,2685,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/top-artists/Q1_2025.json,.json,2683,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/top-artists/Q1_2026.json,.json,2688,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/top-artists/Q2_2019.json,.json,2529,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/top-artists/Q2_2020.json,.json,2530,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/top-artists/Q2_2021.json,.json,2548,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/top-artists/Q2_2022.json,.json,2672,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/top-artists/Q2_2023.json,.json,2696,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/top-artists/Q2_2024.json,.json,2673,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/top-artists/Q2_2025.json,.json,2684,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/top-artists/Q2_2026.json,.json,2698,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/top-artists/Q3_2019.json,.json,2537,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/top-artists/Q3_2020.json,.json,2542,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/top-artists/Q3_2021.json,.json,2640,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/top-artists/Q3_2022.json,.json,2684,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/top-artists/Q3_2023.json,.json,2695,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/top-artists/Q3_2024.json,.json,2673,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/top-artists/Q3_2025.json,.json,2683,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/top-artists/Q3_2026.json,.json,2676,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/top-artists/Q4_2019.json,.json,2528,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/top-artists/Q4_2020.json,.json,2530,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/top-artists/Q4_2021.json,.json,2687,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/top-artists/Q4_2022.json,.json,2685,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/top-artists/Q4_2023.json,.json,2683,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/top-artists/Q4_2024.json,.json,2681,derived artifact,generated,static API artifact,pending
frontend/public/api/v1/nbs/top-artists/Q4_2025.json,.json,2698,derived artifact,generated,static API artifact,pending
NBS FINAL delivery/01_Executive_Summary/Executive_Summary.md,.md,4264,documentation,hand,delivery doc,pending
NBS FINAL delivery/02_Methodology/NBS_Methodology_and_Sources.md,.md,1476,documentation,hand,methodology / response,pending
NBS FINAL delivery/02_Methodology/Two_Provider_Methodology.md,.md,11167,documentation,hand,methodology / response,pending
NBS FINAL delivery/02_Methodology/Variable_Methodology.md,.md,18703,documentation,hand,methodology / response,pending
NBS FINAL delivery/05_Database_Extracts/artists.csv,.csv,23037,documentation,hand,delivery doc,pending
NBS FINAL delivery/05_Database_Extracts/coverage_gaps_summary.csv,.csv,7955,documentation,hand,delivery doc,pending
NBS FINAL delivery/05_Database_Extracts/job_failures_summary.csv,.csv,226,documentation,hand,delivery doc,pending
NBS FINAL delivery/05_Database_Extracts/observation_summary.csv,.csv,40230,documentation,hand,delivery doc,pending
NBS FINAL delivery/06_Sample_Workbooks/00_NBS_Sample_Cover.xlsx,.xlsx,7028,documentation,hand,delivery doc,pending
NBS FINAL delivery/06_Sample_Workbooks/01_Gross_Streaming_Revenue_SAMPLE.xlsx,.xlsx,30199,documentation,hand,delivery doc,pending
NBS FINAL delivery/06_Sample_Workbooks/02_Gross_Export_Revenue_SAMPLE.xlsx,.xlsx,17324,documentation,hand,delivery doc,pending
NBS FINAL delivery/06_Sample_Workbooks/03_Employment_Male_Female_SAMPLE.xlsx,.xlsx,8331,documentation,hand,delivery doc,pending
NBS FINAL delivery/06_Sample_Workbooks/04_Hosting_Production_Costs_SAMPLE.xlsx,.xlsx,6300,documentation,hand,delivery doc,pending
NBS FINAL delivery/06_Sample_Workbooks/05_Social_Media_Metrics_SAMPLE.xlsx,.xlsx,35837,documentation,hand,delivery doc,pending
NBS FINAL delivery/06_Sample_Workbooks/06_Top_Performers_Showcase.xlsx,.xlsx,10059,documentation,hand,delivery doc,pending
NBS FINAL delivery/06_Sample_Workbooks/07_Executive_Sample_Brief.xlsx,.xlsx,7473,documentation,hand,delivery doc,pending
NBS FINAL delivery/06_Sample_Workbooks/README.md,.md,3096,documentation,hand,delivery doc,pending
NBS FINAL delivery/08_References/NBS_Response_Notes.md,.md,9895,documentation,hand,methodology / response,pending
NBS FINAL delivery/08_References/NMAS_Extraction_Brief_Validation_Report.docx,.docx,21302,documentation,hand,methodology / response,pending
NBS FINAL delivery/08_References/References_and_Proof.md,.md,7440,documentation,hand,methodology / response,pending
NBS FINAL delivery/08_References/superseded_workbooks/6_NMAS_Full_Artist_Data_Q1_2024_Q4_2025.xlsx,.xlsx,16422982,documentation,hand,methodology / response,pending
NBS FINAL delivery/09_AI_Disclosure/NMAS_AI_Disclosure_and_Claude_Code_Architecture.md,.md,17981,documentation,hand,delivery doc,pending
NBS FINAL delivery/10_Presentation/Architecting_the_Digital_Shadow_Ledger.mp4,.mp4,70053286,documentation,hand,delivery doc,pending
NBS FINAL delivery/10_Presentation/NMAS_NBS_Final_Delivery_Presentation.md,.md,43062,documentation,hand,delivery doc,pending
NBS FINAL delivery/10_Presentation/NMAS_Technical_Delivery.pptx,.pptx,18123170,documentation,hand,delivery doc,pending
NBS FINAL delivery/11_Raw_Extractions/1_gross_streaming_revenue.csv,.csv,103725,documentation,hand,delivery doc,pending
NBS FINAL delivery/11_Raw_Extractions/2_gross_export_revenue.csv,.csv,96689,documentation,hand,delivery doc,pending
NBS FINAL delivery/11_Raw_Extractions/3_employment_male_female.csv,.csv,1848,documentation,hand,delivery doc,pending
NBS FINAL delivery/11_Raw_Extractions/4_hosting_production_costs.csv,.csv,1746,documentation,hand,delivery doc,pending
NBS FINAL delivery/11_Raw_Extractions/NBS_METHODOLOGY_AND_SOURCES.md,.md,1476,documentation,hand,delivery doc,pending
NBS FINAL delivery/11_Raw_Extractions/all_chartmetric_artists.json,.json,112665,documentation,hand,delivery doc,pending
NBS FINAL delivery/11_Raw_Extractions/extraction_log.txt,.txt,2618,documentation,hand,delivery doc,pending
NBS FINAL delivery/11_Raw_Extractions/nigerian_artists_chartmetric.json,.json,11926,documentation,hand,delivery doc,pending
NBS FINAL delivery/11_Raw_Extractions/nmas_chartmetric_full_metrics.csv,.csv,152417325,documentation,hand,delivery doc,pending
NBS FINAL delivery/11_Raw_Extractions/nmas_q1_2026_raw.csv,.csv,6602935,documentation,hand,delivery doc,pending
NBS FINAL delivery/11_Raw_Extractions/nmas_q1_2026_raw_metrics.csv,.csv,7047682,documentation,hand,delivery doc,pending
NBS FINAL delivery/11_Raw_Extractions/nmas_q2q3_2025_raw.csv,.csv,40268859,documentation,hand,delivery doc,pending
NBS FINAL delivery/11_Raw_Extractions/q2q3_extraction_log.txt,.txt,1372,documentation,hand,delivery doc,pending
NBS FINAL delivery/11_Raw_Extractions/quarterly_aggregates_full.csv,.csv,667007,documentation,hand,delivery doc,pending
NBS FINAL delivery/12_System_Exports/export_run_1/NMAS_131_Nigerian_Artists_Q1_2024_to_Q4_2025.xlsx,.xlsx,16422982,documentation,hand,delivery doc,pending
NBS FINAL delivery/12_System_Exports/export_run_1/coverage_report.csv,.csv,3427500,documentation,hand,delivery doc,pending
NBS FINAL delivery/12_System_Exports/export_run_1/job_summary_report.md,.md,3601,documentation,hand,delivery doc,pending
NBS FINAL delivery/12_System_Exports/export_run_1/limitations_report.csv,.csv,784979,documentation,hand,delivery doc,pending
NBS FINAL delivery/12_System_Exports/export_run_1/nmas_artists.csv,.csv,4416,documentation,hand,delivery doc,pending
NBS FINAL delivery/12_System_Exports/export_run_1/nmas_chartmetric_metrics.csv,.csv,47536336,documentation,hand,delivery doc,pending
NBS FINAL delivery/12_System_Exports/export_run_1/nmas_extraction_notes.md,.md,1387,documentation,hand,delivery doc,pending
NBS FINAL delivery/12_System_Exports/export_run_1/nmas_tracks.csv,.csv,120,documentation,hand,delivery doc,pending
NBS FINAL delivery/12_System_Exports/export_run_1/nmas_variable_methodology.md,.md,13466,documentation,hand,delivery doc,pending
NBS FINAL delivery/12_System_Exports/export_run_1/quarterly_aggregates.csv,.csv,367341,documentation,hand,delivery doc,pending
NBS FINAL delivery/12_System_Exports/export_run_2/coverage_report.csv,.csv,3492089,documentation,hand,delivery doc,pending
NBS FINAL delivery/12_System_Exports/export_run_2/job_summary_report.md,.md,3601,documentation,hand,delivery doc,pending
NBS FINAL delivery/12_System_Exports/export_run_2/limitations_report.csv,.csv,784979,documentation,hand,delivery doc,pending
NBS FINAL delivery/12_System_Exports/export_run_2/nmas_artists.csv,.csv,4416,documentation,hand,delivery doc,pending
NBS FINAL delivery/12_System_Exports/export_run_2/nmas_chartmetric_metrics.csv,.csv,47536336,documentation,hand,delivery doc,pending
NBS FINAL delivery/12_System_Exports/export_run_2/nmas_extraction_notes.md,.md,1387,documentation,hand,delivery doc,pending
NBS FINAL delivery/12_System_Exports/export_run_2/nmas_tracks.csv,.csv,120,documentation,hand,delivery doc,pending
NBS FINAL delivery/12_System_Exports/export_run_2/nmas_variable_methodology.md,.md,18703,documentation,hand,delivery doc,pending
NBS FINAL delivery/12_System_Exports/export_run_2/quarterly_aggregates.csv,.csv,367341,documentation,hand,delivery doc,pending
NBS FINAL delivery/Nigeria Music Analytics System Quarterly Headline Indicators.xlsx,.xlsx,7099,documentation,hand,delivery doc,pending
NBS FINAL delivery/README.md,.md,5586,documentation,hand,delivery doc,pending
docs/architecture/NBS-LATEST-CORRESPONDENCE-CONTEXT.md,.md,2977,documentation,hand,architecture / proposal,pending
docs/architecture/NBS-MONTH1-AUDIT.md,.md,6663,documentation,hand,architecture / proposal,pending
docs/architecture/NBS-MONTH1-TARGET-ARCHITECTURE.md,.md,3362,documentation,hand,architecture / proposal,pending
docs/architecture/STATISTICAL-PRODUCTION-CONSOLE.md,.md,5847,documentation,hand,architecture / proposal,pending
docs/proposals/NBS Extraction Brief.pdf,.pdf,96698,documentation,hand,architecture / proposal,pending
docs/proposals/NMAS METHODOLOGY  NBS RESPONSE.docx,.docx,17520,documentation,hand,architecture / proposal,pending
docs/proposals/NMAS_Sample Deliverable.pdf,.pdf,203499,documentation,hand,architecture / proposal,pending
docs/proposals/NMAS_Technical_Response_v2.pdf,.pdf,306630,documentation,hand,architecture / proposal,pending
.codex/config.toml,.toml,66,other,hand,,pending
.vscode/settings.json,.json,180,other,hand,,pending
LICENSE,,1131,other,hand,,pending
README.md,.md,7594,other,hand,,pending
backend/Meertech_Company_Profile.docx,.docx,39975,other,hand,,pending
backend/Procfile,,55,other,hand,,pending
backend/alembic.ini,.ini,626,other,hand,,pending
backend/alembic/env.py,.py,1892,other,hand,,pending
backend/alembic/script.py.mako,.mako,551,other,hand,,pending
backend/alembic/versions/001_nmas_initial_schema.py,.py,17626,other,hand,,pending
backend/data/all_chartmetric_artists.json,.json,112665,other,hand,,pending
backend/data/exports/20260404T221233Z_b7b89577-ef98-4289-969b-c6623ec1a9e8/NMAS_131_Nigerian_Artists_Q1_2024_to_Q4_2025.xlsx,.xlsx,16422982,other,hand,,pending
backend/data/exports/20260404T221233Z_b7b89577-ef98-4289-969b-c6623ec1a9e8/coverage_report.csv,.csv,3427500,other,hand,,pending
backend/data/exports/20260404T221233Z_b7b89577-ef98-4289-969b-c6623ec1a9e8/job_summary_report.md,.md,3601,other,hand,,pending
backend/data/exports/20260404T221233Z_b7b89577-ef98-4289-969b-c6623ec1a9e8/limitations_report.csv,.csv,784979,other,hand,,pending
backend/data/exports/20260404T221233Z_b7b89577-ef98-4289-969b-c6623ec1a9e8/nmas_artists.csv,.csv,4416,other,hand,,pending
backend/data/exports/20260404T221233Z_b7b89577-ef98-4289-969b-c6623ec1a9e8/nmas_chartmetric_metrics.csv,.csv,47536336,other,hand,,pending
backend/data/exports/20260404T221233Z_b7b89577-ef98-4289-969b-c6623ec1a9e8/nmas_extraction_notes.md,.md,1387,other,hand,,pending
backend/data/exports/20260404T221233Z_b7b89577-ef98-4289-969b-c6623ec1a9e8/nmas_tracks.csv,.csv,120,other,hand,,pending
backend/data/exports/20260404T221233Z_b7b89577-ef98-4289-969b-c6623ec1a9e8/nmas_variable_methodology.md,.md,13466,other,hand,,pending
backend/data/exports/20260404T221233Z_b7b89577-ef98-4289-969b-c6623ec1a9e8/quarterly_aggregates.csv,.csv,367341,other,hand,,pending
backend/data/exports/20260404T222431Z_b7b89577-ef98-4289-969b-c6623ec1a9e8/coverage_report.csv,.csv,3492089,other,hand,,pending
backend/data/exports/20260404T222431Z_b7b89577-ef98-4289-969b-c6623ec1a9e8/job_summary_report.md,.md,3601,other,hand,,pending
backend/data/exports/20260404T222431Z_b7b89577-ef98-4289-969b-c6623ec1a9e8/limitations_report.csv,.csv,784979,other,hand,,pending
backend/data/exports/20260404T222431Z_b7b89577-ef98-4289-969b-c6623ec1a9e8/nmas_artists.csv,.csv,4416,other,hand,,pending
backend/data/exports/20260404T222431Z_b7b89577-ef98-4289-969b-c6623ec1a9e8/nmas_chartmetric_metrics.csv,.csv,47536336,other,hand,,pending
backend/data/exports/20260404T222431Z_b7b89577-ef98-4289-969b-c6623ec1a9e8/nmas_extraction_notes.md,.md,1387,other,hand,,pending
backend/data/exports/20260404T222431Z_b7b89577-ef98-4289-969b-c6623ec1a9e8/nmas_tracks.csv,.csv,120,other,hand,,pending
backend/data/exports/20260404T222431Z_b7b89577-ef98-4289-969b-c6623ec1a9e8/nmas_variable_methodology.md,.md,18703,other,hand,,pending
backend/data/exports/20260404T222431Z_b7b89577-ef98-4289-969b-c6623ec1a9e8/quarterly_aggregates.csv,.csv,367341,other,hand,,pending
backend/data/nbs_deliverables/1_gross_streaming_revenue.csv,.csv,103725,other,hand,,pending
backend/data/nbs_deliverables/2_gross_export_revenue.csv,.csv,96689,other,hand,,pending
backend/data/nbs_deliverables/3_employment_male_female.csv,.csv,1848,other,hand,,pending
backend/data/nbs_deliverables/4_hosting_production_costs.csv,.csv,1746,other,hand,,pending
backend/data/nbs_deliverables/NBS_METHODOLOGY_AND_SOURCES.md,.md,1476,other,hand,,pending
backend/data/nbs_deliverables/extraction_log.txt,.txt,2618,other,hand,,pending
backend/data/nbs_deliverables/nmas_chartmetric_full_metrics.csv,.csv,152417325,other,hand,,pending
backend/data/nbs_deliverables/nmas_q1_2026_raw.csv,.csv,6602935,other,hand,,pending
