period,account,output_ngn,intermediate_consumption_ngn,gross_value_added_ngn,compensation_of_employees_ngn,operating_surplus_mixed_income_ngn,basis
Q4_2024,domestic_production,30707359679.46,239200000.0,30468159679.46,,30468159679.46,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q1_2025,domestic_production,30181052278.8,241280000.0,29939772278.8,,29939772278.8,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q2_2025,domestic_production,33664003428.6,241280000.0,33422723428.6,,33422723428.6,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q3_2025,domestic_production,34025415683.4,241280000.0,33784135683.4,,33784135683.4,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q4_2025,domestic_production,35112016450.8,241280000.0,34870736450.8,,34870736450.8,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q1_2026,domestic_production,35417083778.1,241280000.0,35175803778.1,,35175803778.1,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q2_2026,domestic_production,39647286606.6,239200000.0,39408086606.6,,39408086606.6,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q3_2026,domestic_production,41092808482.8,239200000.0,40853608482.8,,40853608482.8,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q1_2019,gni_diaspora,42371094.78,12480000.0,29891094.78,,29891094.78,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q2_2019,gni_diaspora,50046620.74,16640000.0,33406620.74,,33406620.74,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q3_2019,gni_diaspora,56952664.49,22880000.0,34072664.49,,34072664.49,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q4_2019,gni_diaspora,71560386.84,22880000.0,48680386.84,,48680386.84,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q1_2020,gni_diaspora,98239117.35,22880000.0,75359117.35,,75359117.35,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q2_2020,gni_diaspora,114428861.37,22880000.0,91548861.37,,91548861.37,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q3_2020,gni_diaspora,124284252.58,22880000.0,101404252.58,,101404252.58,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q4_2020,gni_diaspora,110735271.23,22880000.0,87855271.23,,87855271.23,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q1_2021,gni_diaspora,123399332.03,22880000.0,100519332.03,,100519332.03,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q2_2021,gni_diaspora,290805368.64,22880000.0,267925368.64,,267925368.64,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q3_2021,gni_diaspora,242521241.73,22880000.0,219641241.73,,219641241.73,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q4_2021,gni_diaspora,374830516.41,22880000.0,351950516.41,,351950516.41,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q1_2022,gni_diaspora,454132609.26,22880000.0,431252609.26,,431252609.26,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q2_2022,gni_diaspora,393516894.86,22880000.0,370636894.86,,370636894.86,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q3_2022,gni_diaspora,369583374.69,24960000.0,344623374.69,,344623374.69,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q4_2022,gni_diaspora,341353714.17,24960000.0,316393714.17,,316393714.17,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q1_2023,gni_diaspora,953269429.5,24960000.0,928309429.5,,928309429.5,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q2_2023,gni_diaspora,1604485191.3,24960000.0,1579525191.3,,1579525191.3,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q3_2023,gni_diaspora,1385427059.85,24960000.0,1360467059.85,,1360467059.85,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q4_2023,gni_diaspora,1196556147.45,24960000.0,1171596147.45,,1171596147.45,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q1_2024,gni_diaspora,3191251530.74,24960000.0,3166291530.74,,3166291530.74,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q2_2024,gni_diaspora,3015771280.7,24960000.0,2990811280.7,,2990811280.7,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q3_2024,gni_diaspora,3276493200.22,24960000.0,3251533200.22,,3251533200.22,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q4_2024,gni_diaspora,2926267029.66,24960000.0,2901307029.66,,2901307029.66,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q1_2025,gni_diaspora,2778437389.5,24960000.0,2753477389.5,,2753477389.5,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q2_2025,gni_diaspora,2771747433.9,24960000.0,2746787433.9,,2746787433.9,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q3_2025,gni_diaspora,2636200480.5,24960000.0,2611240480.5,,2611240480.5,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q4_2025,gni_diaspora,2479205834.1,24960000.0,2454245834.1,,2454245834.1,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q1_2026,gni_diaspora,2407227091.2,24960000.0,2382267091.2,,2382267091.2,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q2_2026,gni_diaspora,2493362618.1,24960000.0,2468402618.1,,2468402618.1,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
Q3_2026,gni_diaspora,2396994237.0,24960000.0,2372034237.0,,2372034237.0,"Output = gross streaming revenue. All four cost categories are purchased services and are treated here as intermediate consumption. The cost card contains NO labour component, so compensation of employees is NOT MEASURED (blank, not zero) and the whole of value added falls to operating surplus / mixed income. NBS should confirm this treatment against its own SNA classification before use."
